Custom.Data.position,Custom.Data.salary_min,Custom.Data.salary_max,Custom.Data.experience,Custom.Data.degree,Custom.Data.work_place,Custom.Data.company_name,Custom.Data.company_type,Custom.Data.company_finance,Custom.Data.company_scale,Custom.Data.bonus,Custom.Data.url
资深Java开发工程师-杭州-00492,15k,25k,经验3-5年,本科,杭州,年糕妈妈,"移动互联网,电商",B轮,150-500人,大牛多 上升空间大,https://www.lagou.com/jobs/5870552.html
高级运维开发工程师,20k,40k,经验5-10年,本科,深圳,商汤科技,人工智能,C轮,2000人以上,"AI独角兽,发展空间大",https://www.lagou.com/jobs/4696736.html
后台PHP开发工程师,10k,16k,经验1-3年,本科,广州,微咔世纪,社交,A轮,50-150人,"六险一金,营养工作餐,萌宠陪伴,下午茶",https://www.lagou.com/jobs/5559946.html
高级Java开发工程师,25k,50k,经验1-3年,本科,北京,阿里巴巴-高德,工具,上市公司,2000人以上,JAVA,https://www.lagou.com/jobs/5083748.html
java中级研发工程师（话务平台开发方向）,25k,50k,经验5-10年,本科,北京,贝壳,房产家居,D轮及以上,2000人以上,"15薪,免费三餐,大平台,健身房",https://www.lagou.com/jobs/5517358.html
高级Java开发工程师,16k,32k,经验3-5年,本科,杭州,ZOOM,"移动互联网,社交",上市公司,500-2000人,"全球领先,股票期权,硅谷培训,周末双休",https://www.lagou.com/jobs/4212728.html
大数据开发工程师,15k,22k,经验5-10年,本科,成都,西南凯亚,"信息安全,其他",不需要融资,150-500人,"国企,五险一金,带薪休假,没有996",https://www.lagou.com/jobs/5360477.html
高级PHP工程师,20k,40k,经验3-5年,本科,上海,淘集集,电商,B轮,500-2000人,高速发展 扁平管理,https://www.lagou.com/jobs/5707837.html
高级大数据运维工程师,20k,40k,经验3-5年,本科,上海,收钱吧,移动互联网,C轮,500-2000人,平台大，福利好，牛人多，晋升机会,https://www.lagou.com/jobs/5319137.html
技术专家,40k,60k,经验5-10年,本科,北京,玩吧,社交,B轮,150-500人,"七险一金,弹性不打卡,免费午餐,季度旅游",https://www.lagou.com/jobs/4407339.html
JAVA 高级工程师,15k,25k,经验3-5年,本科,上海,易居房友,"其他,企业服务",上市公司,2000人以上,发展潜力大，福利待遇优,https://www.lagou.com/jobs/6038282.html
高级PHP开发工程师,18k,36k,经验3-5年,本科,北京,微聚未来,"移动互联网,金融",不需要融资,500-2000人,技术大牛 扁平管理 七险一金 16薪考核,https://www.lagou.com/jobs/5457298.html
11210W-应用运维工程师（集团系统）,12k,20k,经验1-3年,本科,深圳,平安科技,金融,不需要融资,2000人以上,"五险一金,绩效奖金,带薪年假,节日福利",https://www.lagou.com/jobs/5495693.html
中高级C++开发工程师（IoT方向）,15k,25k,经验不限,本科,深圳,极光,企业服务,上市公司,500-2000人,"大数据平台,弹性工作制,技术氛围好",https://www.lagou.com/jobs/4533522.html
高级Java工程师,25k,45k,经验5-10年,本科,深圳,商汤科技,人工智能,C轮,2000人以上,周末双休,https://www.lagou.com/jobs/5603978.html
Java研发工程师,25k,40k,经验5-10年,本科,上海,贝壳,房产家居,D轮及以上,2000人以上,"15薪,免费三餐,大平台,健身房",https://www.lagou.com/jobs/5667451.html
java后端,25k,45k,经验3-5年,本科,北京,阿里巴巴-高德,工具,上市公司,2000人以上,"阿里平台,年底双薪",https://www.lagou.com/jobs/5808482.html
Java开发工程师（平台开发）,15k,30k,经验3-5年,本科,上海,收钱吧,移动互联网,C轮,500-2000人,平台大，福利好，牛人多，晋升机会,https://www.lagou.com/jobs/5319658.html
高级Java开发工程师（wodlee）-杭州-00591,15k,25k,经验3-5年,本科,杭州,挖财,工具,D轮及以上,500-2000人,弹性工作，六险一金，晋升空间，带薪年假,https://www.lagou.com/jobs/2667482.html
252118-运维开发工程师,13k,26k,经验3-5年,本科,上海,陆金所,金融,B轮,2000人以上,"五险一金,节日福利,带薪年假,定期体检",https://www.lagou.com/jobs/5515622.html
高级Java开发工程师,25k,40k,经验3-5年,本科,杭州,呆萝卜,"移动互联网,电商",A轮,500-2000人,新零售赛道 成熟商业模式,https://www.lagou.com/jobs/5532138.html
100199-技术专家,45k,55k,经验5-10年,硕士,北京,Mobvista,广告营销,上市公司,500-2000人,特别好,https://www.lagou.com/jobs/5317212.html
SPBU-后端架构师（营收）,25k,40k,经验3-5年,本科,广州,酷狗音乐,文娱丨内容,上市公司,500-2000人,餐饮补贴 绩效奖励 双休,https://www.lagou.com/jobs/5568119.html
Java开发工程师,15k,30k,经验1-3年,本科,北京,自如网,房产家居,A轮,2000人以上,六险一金 租房优惠 五星级办公环境,https://www.lagou.com/jobs/2820646.html
后端开发工程师（Python/GO）-武汉,10k,20k,经验3-5年,本科,武汉,旷视MEGVII,人工智能,D轮及以上,500-2000人,"核心团队,人工智能,平台开发,氛围融洽",https://www.lagou.com/jobs/4967915.html
